Cust Key,Cust Name,Cust Address,Cust County,Cust City,Cust State,Cust Zip Code,Cust Region,Cust Since,Cust Type,Cust Gender,Cust Age,Age Group,Civil Status,Loyalty Program
39,Javier Oakley,273 Ashley Alley,Maricopa,Phoenix,Arizona,85026,Southwest,2007-08-09,Individual,Male,55,36-55,Married,0
40,Vanessa Potts,255 Becklow Avenue,Arapahoe,Centennial,Colorado,80122,Southwest,2013-06-07,Individual,Female,59,56+,Widowed,0
41,Mark Moss,892 Aspen Route,Los Angeles,Compton,California,90220,West,2007-08-19,Individual,Male,63,56+,Widowed,1
42,Makena Vernon,650 York Tunnel,Allegheny,Pittsburgh,Pennsylvania,15290,East,2008-02-02,Individual,Female,45,36-55,Widowed,0
43,Renee Booth,823 Bicknell Boulevard,Yakima,Yakima,Washington,98901,West,2010-03-14,Individual,Female,42,36-55,Divorced,0
44,Javier Bayliss,874 Lonsdale Vale,Knox,Knoxville,Tennessee,37950,South,2007-12-05,Individual,Male,38,36-55,Divorced,0
45,Benjamin Morrison,54 Parkgate Boulevard,Calumet,Appleton,Wisconsin,54911,Midwest,2009-04-18,Individual,Male,40,36-55,Widowed,1
46,Sonya Greenwood,746 Chicksand Lane,Riverside,Corona,California,91718,West,2013-12-30,Individual,Female,35,18-35,Widowed,1
47,Bart Ring,755 Woodland Way,Allegheny,Pittsburgh,Pennsylvania,15290,East,2006-02-07,Individual,Male,48,36-55,Widowed,0
48,Chuck Gallacher,506 Blean Grove,Essex,East Orange,New Jersey,7017,East,2012-02-10,Individual,Male,45,36-55,Divorced,0
49,Clint Pearson,451 Thomas More Road,Palm Beach,Delray Beach,Florida,33444,South,2016-09-13,Individual,Male,55,36-55,Married,0
50,Madison Coates,842 Falconberg Way,Craighead,Jonesboro,Arkansas,72401,South,2020-01-20,Individual,Female,63,56+,Divorced,1
51,Ethan Flynn,616 Blackheath Alley,Montgomery,Dayton,Ohio,45401,Midwest,2023-01-21,Individual,Male,48,36-55,Married,1
52,Liam Warden,496 English Vale,Yakima,Yakima,Washington,98901,West,2012-10-17,Individual,Male,39,36-55,Single,1
53,Gwenyth Casey,23 Ben Hill,Oakland,Southfield,Michigan,48034,Midwest,2015-04-20,Individual,Female,25,18-35,Widowed,1
54,Barney Malone,952 Bennett Boulevard,King,Seattle,Washington,98108,West,2009-08-14,Individual,Male,25,18-35,Single,0
55,Angelica Avery,338 Blanchard Lane,Cook,Arlington Heights,Illinois,60004,Midwest,2014-07-18,Individual,Female,53,36-55,Married,0
56,Britney Swan,4 Belgrave Lane,Osage,Tulsa,Oklahoma,74107,Southwest,2011-02-13,Individual,Female,66,56+,Married,1
57,Harvey Evans,139 Kimberley Drive,Contra Costa,Pittsburg,California,94565,West,2018-05-19,Individual,Male,33,18-35,Divorced,1
58,Camellia Pickard,605 Catherine Walk,Broward,Deerfield Beach,Florida,33441,South,2005-01-27,Individual,Female,50,36-55,Widowed,0
59,Rylee May,821 Cephas Rue,Deschutes,Bend,Oregon,97701,West,2011-07-23,Individual,Female,27,18-35,Divorced,0
62,Carter Fall,721 Longmoore Walk,Fulton,Roswell,Georgia,30075,South,2005-11-19,Individual,Male,41,36-55,Married,1
63,Dalia Jobson,714 Sheringham Pass,Dallas,Dallas,Texas,75260,Southwest,2009-09-22,Individual,Female,30,18-35,Married,0
64,Martha Martin,318 Epworth Street,Kalamazoo,Kalamazoo,Michigan,49001,Midwest,2018-08-25,Individual,Female,38,36-55,Divorced,1
65,Felicity Plant,534 Black Swan Tunnel,Sacramento,Sacramento,California,95813,West,2019-04-13,Individual,Female,50,36-55,Single,0
66,Alma York,796 Fairbairn Avenue,Riverside,Menifee,California,92584,West,2012-07-31,Individual,Female,47,36-55,Divorced,0
67,Mason Olson,253 College Alley,Milwaukee,Milwaukee,Wisconsin,53203,Midwest,2004-04-10,Individual,Male,50,36-55,Married,1
68,Enoch Kent,72 Boadicea Vale,Maricopa,Tempe,Arizona,85282,Southwest,2008-11-30,Individual,Male,26,18-35,Married,0
69,Jack Roberts,842 Chart Pass,Clark,Las Vegas,Nevada,89199,West,2004-11-05,Individual,Male,86,56+,Widowed,0
70,Daniel Walsh,94 Enford Street,Dallas,Dallas,Texas,75260,Southwest,2004-05-11,Individual,Male,24,18-35,Married,1
71,Ruth Walker,740 Parkfields Lane,Clark,Amboy,Washington,98601,West,2006-02-28,Individual,Female,48,36-55,Single,0
72,Rose Herbert,390 Lexington Alley,Hudson,Jersey City,New Jersey,7302,East,2004-08-08,Individual,Female,74,56+,Widowed,1
73,Danny Bailey,973 Yoakley Grove,Lincoln,Sioux Falls,South Dakota,57104,Midwest,2004-05-04,Individual,Male,34,18-35,Married,1
74,Luke Adams,146 Berry Drive,San Bernardino,Chino Hills,California,91709,West,2009-02-16,Individual,Male,57,56+,Widowed,0
75,Daron Umney,117 Ellerman Vale,Deschutes,Bend,Oregon,97701,West,2008-10-18,Individual,Male,36,36-55,Married,1
77,Hayden Richardson,13 Sundown Grove,Clark,Vancouver,Washington,98668,West,2003-06-02,Individual,Male,63,56+,Single,1
78,Johnathan Eastwood,962 Champion Vale,Weld,Greeley,Colorado,80631,Southwest,2018-06-20,Individual,Male,50,36-55,Single,1
79,Benjamin Middleton,86 Becher Way,Sacramento,Sacramento,California,95813,West,2004-11-02,Individual,Male,28,18-35,Single,0
80,Wade Power,870 Chester  Tunnel,St. Louis,St. Louis,Missouri,63155,Midwest,2018-03-22,Individual,Male,27,18-35,Single,1
82,Noah Moss,542 Blake Vale,Los Angeles,South Gate,California,90280,West,2009-05-11,Individual,Male,24,18-35,Widowed,1
83,Jules Ward,31 Howard Vale,Buchanan,St. Joseph,Missouri,64501,Midwest,2022-09-23,Individual,Female,40,36-55,Married,1
84,Shannon Neville,515 Thrale Alley,Alameda,Oakland,California,94612,West,2007-09-29,Individual,Female,55,36-55,Divorced,1
85,Kieth Walker,433 Waite Vale,Osage,Tulsa,Oklahoma,74107,Southwest,2003-07-05,Individual,Male,36,36-55,Divorced,0
86,Payton Osmond,620 Bloomsbury Walk,San Joaquin,Stockton,California,95208,West,2006-05-26,Individual,Female,21,18-35,Divorced,1
87,Livia Gilmore,693 Norland Hill,Muscogee,Columbus,Georgia,31908,South,2010-01-16,Individual,Female,88,56+,Single,1
88,Charlize Jobson,461 Chestnut Crossroad,Riverside,Riverside,California,92507,West,2006-02-28,Individual,Female,56,56+,Widowed,0
89,Denny Weston,902 Aspen Way,Broward,Deerfield Beach,Florida,33441,South,2007-11-08,Individual,Male,85,56+,Widowed,1
90,Miriam Squire,672 Abbey Alley,Contra Costa,Pittsburg,California,94565,West,2004-11-09,Individual,Female,44,36-55,Widowed,0
91,Leanne Shaw,592 Camdale Route,Los Angeles,Downey,California,90241,West,2003-05-23,Individual,Female,40,36-55,Widowed,0
92,Marissa Veale,149 Castile Walk,Milwaukee,Milwaukee,Wisconsin,53203,Midwest,2011-09-07,Individual,Female,27,18-35,Widowed,0
93,Blake Santos,672 Underwood Drive,Lehigh,Bethlehem,Pennsylvania,18015,East,2022-09-23,Individual,Female,24,18-35,Widowed,0
94,Alex Clifford,803 Dunstable Pass,Oklahoma,Oklahoma City,Oklahoma,73125,Southwest,2011-04-20,Individual,Female,27,18-35,Single,1
95,Gina Armstrong,774 Udall Road,Peoria,Peoria,Illinois,61601,Midwest,2011-11-30,Individual,Female,26,18-35,Divorced,0
96,Lara Seymour,886 Camelot Crossroad,Kent,Warwick,Rhode Island,2886,East,2011-05-13,Individual,Female,44,36-55,Single,1
97,Hayden Carpenter,55 Bendmore Pass,Allegheny,Pittsburgh,Pennsylvania,15290,East,2022-02-19,Individual,Male,31,18-35,Married,1
98,Melody Page,56 Queensberry Road,Osage,Tulsa,Oklahoma,74107,Southwest,2012-04-27,Individual,Female,27,18-35,Divorced,0
99,Domenic Nobbs,883 Sundown Walk,Weld,Greeley,Colorado,80631,Southwest,2005-07-21,Individual,Male,52,36-55,Married,0
101,Mike Skinner,735 Sherlock Walk,Broward,Lauderhill,Florida,33313,South,2017-08-27,Individual,Male,34,18-35,Married,1
102,Henry Villiger,474 Church Pass,Allegheny,Pittsburgh,Pennsylvania,15290,East,2012-10-09,Individual,Male,45,36-55,Married,1
103,Leslie Healy,70 Maple Pass,Hudson,Jersey City,New Jersey,7302,East,2014-12-18,Individual,Female,34,18-35,Single,0
104,Wendy Collins,549 Lexington Road,Dougherty,Albany,Georgia,31701,South,2004-07-05,Individual,Female,63,56+,Single,0
105,Jaylene Dowson,795 Durnford Lane,Pitt,Greenville,North Carolina,27833,South,2004-10-28,Individual,Female,39,36-55,Single,1
106,Chuck Shaw,657 Meadow Boulevard,Mecklenburg,Charlotte,North Carolina,28228,South,2014-03-02,Individual,Male,39,36-55,Single,0
107,Beatrice Bell,677 Howard Route,Los Angeles,Pasadena,California,91103,West,2011-05-15,Individual,Female,69,56+,Single,1
108,Matt Gallacher,230 Virginia Alley,Maricopa,Phoenix,Arizona,85026,Southwest,2021-07-02,Individual,Male,42,36-55,Married,0
109,Anabelle Tailor,749 Cephas Street,King,Kirkland,Washington,98033,West,2019-08-28,Individual,Female,44,36-55,Widowed,0
110,Mark Gavin,110 Billing Rue,Mecklenburg,Charlotte,North Carolina,28228,South,2021-10-10,Individual,Male,29,18-35,Married,1
111,Chuck Ainsworth,673 Argyle Grove,Lincoln,Sioux Falls,South Dakota,57104,Midwest,2004-06-06,Individual,Male,21,18-35,Widowed,1
112,Michaela Harris,449 Carnegie Crossroad,Alameda,Oakland,California,94612,West,2021-01-15,Individual,Female,49,36-55,Married,0
113,Mark Bullock,790 Apollo Hill,Orange,Costa Mesa,California,92628,West,2009-01-14,Individual,Male,86,56+,Single,0
114,Ivy Benson,554 Queensberry Lane,Milwaukee,Milwaukee,Wisconsin,53203,Midwest,2021-11-14,Individual,Female,23,18-35,Widowed,1
116,Bob Williams,559 Blue Anchor Hill,Clark,Vancouver,Washington,98668,West,2019-08-05,Individual,Male,23,18-35,Divorced,0
117,Rachael Mcgee,460 Bloomsbury Boulevard,Hillsborough,Manchester,New Hampshire,3103,East,2019-05-20,Individual,Female,33,18-35,Widowed,0
118,Cherish Norris,569 Angel Boulevard,Providence,Cranston,Rhode Island,2910,East,2004-05-23,Individual,Female,39,36-55,Single,0
120,Kimberly Carson,252 Underwood Way,Hidalgo,Edinburg,Texas,78539,Southwest,2017-10-25,Individual,Female,23,18-35,Widowed,1
121,Sebastian Stuart,564 Linda Lane Street,San Bernardino,Chino Hills,California,91709,West,2023-01-27,Individual,Male,26,18-35,Single,1
122,Gabriel Rees,467 Caldwell Alley,Plymouth,Brockton,Massachusetts,2301,East,2009-01-14,Individual,Male,28,18-35,Divorced,1
123,Jayden Harrington,748 Blenkarne Tunnel,Contra Costa,Pittsburg,California,94565,West,2016-07-04,Individual,Male,59,56+,Single,0
124,Cameron Roberts,294 Monroe Walk,Dallas,Lewisville,Texas,75029,Southwest,2004-04-11,Individual,Female,34,18-35,Married,0
125,Kendra Hill,234 Calderwood Street,Lynchburg City,Lynchburg,Virginia,24501,East,2019-09-17,Individual,Female,53,36-55,Single,0
126,Jasmine Shea,754 Eaglet Road,Orange,Costa Mesa,California,92628,West,2008-11-25,Individual,Female,50,36-55,Married,0
127,Tony Long,233 Heritage Boulevard,Weld,Greeley,Colorado,80631,Southwest,2012-01-20,Individual,Male,43,36-55,Widowed,1
129,Peter Wilson,271 Udall Tunnel,San Mateo,Daly City,California,94015,West,2008-08-16,Individual,Male,33,18-35,Widowed,0
130,Daniel Tyler,344 Blackall Street,Douglas,Omaha,Nebraska,68108,Midwest,2003-09-03,Individual,Male,23,18-35,Divorced,0
131,Abbey Addison,46 Geffrye Drive,Jefferson,Beaumont,Texas,77707,Southwest,2006-03-16,Individual,Female,31,18-35,Single,0
132,Scarlett Coates,693 Victoria Rise Alley,Deschutes,Bend,Oregon,97701,West,2010-09-14,Individual,Female,21,18-35,Widowed,1
133,Gloria Miller,251 Glenwood Pass,Santa Fe,Santa Fe,New Mexico,87500,Southwest,2004-09-23,Individual,Female,31,18-35,Married,0
134,Kate Summers,320 Clissold Avenue,Broward,Lauderhill,Florida,33313,South,2004-05-23,Individual,Female,28,18-35,Married,0
135,Mary Mitchell,681 Birkin Lane,Montgomery,Dayton,Ohio,45401,Midwest,2015-10-04,Individual,Female,36,36-55,Single,1
136,Sara Vincent,174 Cavendish Grove,Jefferson,Hoover,Alabama,35226,South,2019-03-23,Individual,Female,41,36-55,Divorced,0
137,Phillip Truscott,527 Westcott Hill,Gaston,Gastonia,North Carolina,28052,South,2017-07-06,Individual,Male,29,18-35,Married,0
138,Hayden Payne,973 Andsell Alley,Lehigh,Bethlehem,Pennsylvania,18015,East,2019-01-03,Individual,Male,33,18-35,Single,1
139,Aleksandra Flanders,252 Abbots Pass,Lehigh,Bethlehem,Pennsylvania,18015,East,2017-08-04,Individual,Female,63,56+,Divorced,1
140,Jayden Walsh,802 Sheffield Road,Limestone,Huntsville,Alabama,35813,South,2009-08-14,Individual,Male,61,56+,Divorced,1
141,Bart Fields,997 Underwood Alley,Douglas,Omaha,Nebraska,68108,Midwest,2012-03-10,Individual,Male,29,18-35,Married,0
142,Sylvia Notman,394 Chester  Walk,DuPage,Aurora,Illinois,60505,Midwest,2005-09-07,Individual,Female,24,18-35,Divorced,0
143,Chris Lunt,422 Apollo Pass,Ramsey,St. Paul,Minnesota,55109,Midwest,2020-05-15,Individual,Male,33,18-35,Married,1
144,Alma Woodcock,993 Kilner Lane,Hinds,Jackson,Mississippi,39205,South,2010-08-06,Individual,Female,23,18-35,Divorced,1
145,Bree Nelson,458 Charterhouse Pass,Orange,Buena Park,California,90620,West,2022-02-11,Individual,Female,33,18-35,Divorced,0
147,Kurt Utterson,164 Cliff Crossroad,Orange,Costa Mesa,California,92628,West,2012-02-10,Individual,Male,29,18-35,Widowed,0
148,Anais Tanner,624 Underwood Route,Hidalgo,Mission,Texas,78572,Southwest,2009-08-18,Individual,Female,83,56+,Divorced,0
149,Josh Hall,987 Elystan Road,Dakota,Eagan,Minnesota,55122,Midwest,2022-02-02,Individual,Male,35,18-35,Divorced,1
150,Valerie Vaughan,939 Cavell Lane,Bristol,Fall River,Massachusetts,2720,East,2007-02-01,Individual,Female,86,56+,Widowed,1
152,Nick Gibson,572 Birkin Crossroad,Mecklenburg,Charlotte,North Carolina,28228,South,2006-09-14,Individual,Male,55,36-55,Divorced,0
154,Erick Bradley,114 Lake Walk,Gaston,Gastonia,North Carolina,28052,South,2022-02-17,Individual,Male,69,56+,Divorced,1
155,Maya Newton,450 Cable Street,Lynchburg (city),Lynchburg,Virginia,24501,East,2007-09-16,Individual,Female,40,36-55,Married,1
156,Russel Evans,40 Battis Avenue,Gaston,Gastonia,North Carolina,28052,South,2007-11-08,Individual,Male,33,18-35,Married,1
157,Hailey May,939 Sheffield Grove,Kent,Warwick,Rhode Island,2886,East,2012-09-21,Individual,Female,77,56+,Widowed,0
158,Rocco Niles,86 Railroad Walk,Providence,Cranston,Rhode Island,2910,East,2022-08-26,Individual,Male,58,56+,Divorced,0
159,Gladys Preston,15 Caslon Road,Muscogee,Columbus,Georgia,31908,South,2006-09-16,Individual,Female,50,36-55,Single,0
160,Sofie Preston,189 Bacon Vale,Oakland,Southfield,Michigan,48034,Midwest,2005-08-08,Individual,Female,34,18-35,Widowed,0
161,Gil Cork,842 Longmoore Vale,Travis,Austin,Texas,78710,Southwest,2012-06-26,Individual,Male,41,36-55,Divorced,0
162,Mike Potter,50 Chalcot Vale,Contra Costa,Pittsburg,California,94565,West,2019-01-20,Individual,Male,37,36-55,Married,1
163,Ethan Fall,205 Archery Route,Bristol,Fall River,Massachusetts,2720,East,2021-02-01,Individual,Male,27,18-35,Single,1
164,Angel Shaw,484 Beechen Road,Gaston,Gastonia,North Carolina,28052,South,2019-03-16,Individual,Female,49,36-55,Divorced,0
166,Domenic Robertson,151 Earl Rise Tunnel,DuPage,Aurora,Illinois,60505,Midwest,2009-11-09,Individual,Male,21,18-35,Widowed,0
167,Cherish Roth,230 Woodland Drive,Buncombe,Asheville,North Carolina,28801,South,2010-01-16,Individual,Female,22,18-35,Married,1
168,Courtney Phillips,549 Balfour Drive,Orange,Costa Mesa,California,92628,West,2015-09-25,Individual,Female,57,56+,Divorced,1
169,Liam Jackson,351 Ernest Route,Hennepin,Minneapolis,Minnesota,55401,Midwest,2019-02-26,Individual,Male,47,36-55,Single,1
170,Rocco Snow,933 Blackheath Pass,Dallas,Mesquite,Texas,75149,Southwest,2020-12-15,Individual,Male,73,56+,Widowed,1
171,Matt Lindsay,637 Aylward Road,Buchanan,St. Joseph,Missouri,64501,Midwest,2012-06-02,Individual,Male,43,36-55,Widowed,1
172,Holly Edwards,697 Ellerslie Tunnel,Orange,Huntington Beach,California,92647,West,2004-08-08,Individual,Female,57,56+,Divorced,0
173,Benjamin Lynn,383 Sheraton Walk,Orange,Costa Mesa,California,92628,West,2019-03-17,Individual,Male,28,18-35,Single,0
174,Nick Grey,113 Gatonby Walk,Gaston,Gastonia,North Carolina,28052,South,2019-03-23,Individual,Male,36,36-55,Single,0
175,Boris Vince,173 Baltic Boulevard,Hamilton,Cincinnati,Ohio,45225,Midwest,2013-12-08,Individual,Male,38,36-55,Widowed,0
176,Brad Edwards,852 Thoresby Lane,Orange,Costa Mesa,California,92628,West,2016-10-28,Individual,Male,54,36-55,Divorced,1
177,Hank Boden,792 Enderby Rue,Delaware,Columbus,Ohio,43216,Midwest,2018-07-16,Individual,Male,23,18-35,Single,0
179,Kenzie Smith,202 Baltic Avenue,El Paso,El Paso,Texas,79910,Southwest,2016-04-07,Individual,Female,60,56+,Single,0
180,Bridget Booth,341 Timber Avenue,Maricopa,Avondale,Arizona,85323,Southwest,2011-12-15,Individual,Female,27,18-35,Widowed,1
181,Barney Oatway,499 Durweston Hill,Benton,Kennewick,Washington,99336,West,2013-09-18,Individual,Male,53,36-55,Widowed,1
182,Georgia Osmond,134 Coal Wharf Boulevard,Weld,Greeley,Colorado,80631,Southwest,2014-02-03,Individual,Female,82,56+,Divorced,0
183,Mike Riley,215 Fawn Lane,Osage,Tulsa,Oklahoma,74107,Southwest,2007-08-25,Individual,Male,74,56+,Divorced,0
184,Sabrina Bentley,904 Chalcot Rue,Lehigh,Bethlehem,Pennsylvania,18015,East,2013-11-15,Individual,Female,68,56+,Divorced,1
185,Julia Crawley,828 Blackheath Grove,Essex,Lynn,Massachusetts,1901,East,2010-11-11,Individual,Female,44,36-55,Divorced,1
186,Carla Calderwood,270 Jackson Pass,Hamilton,Cincinnati,Ohio,45225,Midwest,2010-08-22,Individual,Female,42,36-55,Married,0
187,Harvey Thomas,192 Parkfields Alley,DuPage,Naperville,Illinois,60540,Midwest,2007-10-01,Individual,Male,35,18-35,Divorced,1
189,Aiden Morris,242 Wadham Way,Providence,Cranston,Rhode Island,2910,East,2019-01-03,Individual,Male,32,18-35,Married,1
190,Alan Olivier,211 Bennett Boulevard,East Baton Rouge Parish,Baton Rouge,Louisiana,70826,South,2007-05-11,Individual,Male,62,56+,Married,0
191,Eduardo Blackburn,643 Camley Drive,Cumberland,Bailey Island,Maine,4003,East,2006-08-23,Individual,Male,39,36-55,Married,0
194,Mason Pearson,783 Linden Road,Orange,Costa Mesa,California,92628,West,2006-02-23,Individual,Male,54,36-55,Married,0
196,Maxwell Weasley,845 Waite Way,Los Angeles,West Covina,California,91793,West,2014-06-20,Individual,Male,28,18-35,Divorced,0
197,Naomi Swan,143 Chantry Hill,Pierce,Tacoma,Washington,98413,West,2006-04-25,Individual,Female,80,56+,Divorced,0
198,Adelaide Young,955 Longleigh Hill,Camden,Camden,New Jersey,8101,East,2008-02-24,Individual,Female,22,18-35,Single,0
199,Sara Stanton,638 Magnolia Crossroad,Maricopa,Tempe,Arizona,85282,Southwest,2006-09-23,Individual,Female,37,36-55,Divorced,1
200,Peter Hobson,16 Collent Grove,Jefferson,Hoover,Alabama,35226,South,2020-01-16,Individual,Male,36,36-55,Married,1
201,Russel Mccall,613 North Walk,Osage,Tulsa,Oklahoma,74107,Southwest,2014-12-18,Individual,Male,33,18-35,Widowed,1
202,Leroy Hooper,100 Thurloe Way,Albany,Albany,New York,12201,East,2020-03-20,Individual,Male,63,56+,Divorced,0
203,Logan Neville,245 Ayres Tunnel,Collin,Garland,Texas,75040,Southwest,2015-01-18,Individual,Male,32,18-35,Widowed,0
204,Vicky Osmond,427 Cave Street,Oklahoma,Oklahoma City,Oklahoma,73125,Southwest,2006-03-23,Individual,Female,84,56+,Married,1
205,Alessia Connell,907 Queensberry Vale,Hidalgo,Edinburg,Texas,78539,Southwest,2020-07-25,Individual,Female,33,18-35,Divorced,0
206,Hope Antcliff,208 Commercial Boulevard,Lancaster,Lincoln,Nebraska,68501,Midwest,2019-04-11,Individual,Female,53,36-55,Divorced,1
207,Matthew Bayliss,993 Chestnut Rise Hill,Orange,Costa Mesa,California,92628,West,2013-01-27,Individual,Male,73,56+,Married,1
208,Gil Healy,95 Camley Walk,Cook,Arlington Heights,Illinois,60004,Midwest,2008-08-20,Individual,Male,25,18-35,Married,1
209,Ryan Chapman,952 Elba Street,Orange,Buena Park,California,90620,West,2017-04-24,Individual,Male,42,36-55,Married,1
211,Domenic Morrow,2 Aberavon Road,Contra Costa,Pittsburg,California,94565,West,2020-05-01,Individual,Male,36,36-55,Divorced,1
212,Mike Salt,225 Beatty Grove,Lehigh,Bethlehem,Pennsylvania,18015,East,2016-06-15,Individual,Male,32,18-35,Divorced,0
213,Kamila Walton,670 Belgrave Walk,Orange,Orlando,Florida,32802,South,2009-07-16,Individual,Female,24,18-35,Married,0
214,Cassidy Buckley,665 Oxford Tunnel,Dallas,Lewisville,Texas,75029,Southwest,2017-04-26,Individual,Female,23,18-35,Widowed,1
215,Benny Ross,747 Duthie Alley,Deschutes,Bend,Oregon,97701,West,2008-11-30,Individual,Male,82,56+,Divorced,0
216,Rufus Turner,421 Collent Alley,St. Louis,Duluth,Minnesota,55801,Midwest,2018-06-23,Individual,Male,23,18-35,Divorced,0
217,Leilani Rixon,410 Ely Pass,Broward,Pompano Beach,Florida,33060,South,2018-01-14,Individual,Female,27,18-35,Widowed,0
218,Sloane Tobin,270 Durnford Street,Arapahoe,Centennial,Colorado,80122,Southwest,2017-06-30,Individual,Female,66,56+,Widowed,1
219,Madison Payne,760 Cephas Boulevard,Madison,Jackson,Tennessee,38301,South,2019-08-05,Individual,Female,22,18-35,Single,1
220,Carol Savage,723 Calshot Avenue,Jefferson,Beaumont,Texas,77707,Southwest,2009-07-14,Individual,Female,78,56+,Single,0
